method,vector
|java+method:///smallsql/database/SSDatabaseMetaData/ownDeletesAreVisible(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MutableFloat/longValue()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionName/getColumnIndex()|,"[7,2,5,1,0,1]"
"|java+method:///smallsql/database/Utils/createMemoryCommandSelect(smallsql.database.SSConnection,java.lang.String%5B%5D,java.lang.Object%5B%5D%5B%5D)|","[18,9,9,3,3,2]"
|java+method:///smallsql/junit/TestOrderBy/testOrderBy_Scollable()|,"[29,22,7,1,6,1]"
|java+method:///smallsql/database/StoreImpl/readTimestamp()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSCallableStatement/setURL(java.lang.String,java.net.URL)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/StoreImpl/isRollback()|,"[6,2,4,1,0,1]"
|java+method:///smallsql/database/ViewResult/setRowPosition(long)|,"[3,2,1,1,0,1]"
"|java+constructor:///smallsql/database/SortedResult/SortedResult(smallsql.database.RowSource,smallsql.database.Expressions)|","[4,3,1,2,2,1]"
|java+method:///smallsql/database/ExpressionFunctionLog10/getFunction()|,"[1,1,0,1,0,1]"
"|java+method:///smallsql/junit/BasicTestCase/assertSQLException(java.lang.String,int,java.sql.SQLException)|","[6,5,1,3,1,1]"
|java+method:///smallsql/database/ExpressionValue/getFloat()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Table/writeMagic(java.nio.channels.FileChannel)|,"[8,7,1,1,1,1]"
"|java+method:///smallsql/database/CommandSet/executeImpl(smallsql.database.SSConnection,smallsql.database.SSStatement)|","[12,10,2,2,1,2]"
|java+method:///smallsql/junit/TestTransactions/testCommit()|,"[26,19,7,1,1,5]"
"|java+method:///smallsql/database/SSResultSet/updateTimestamp(java.lang.String,java.sql.Timestamp)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/SQLParser/limit(smallsql.database.CommandSelect)|,"[9,7,2,1,2,3]"
|java+method:///smallsql/database/Join/getRowPosition()|,"[5,4,1,1,0,1]"
|java+method:///smallsql/database/SSResultSetMetaData/getScale(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionLength/getInt()|,"[7,6,1,1,2,1]"
|java+method:///smallsql/database/IndexDescriptions/close()|,"[5,3,2,1,0,2]"
|java+constructor:///smallsql/junit/TestDeleteUpdate/TestDeleteUpdate(java.lang.String)|,"[6,2,4,1,0,1]"
|java+method:///smallsql/database/TableStorePageInsert/getLink()|,"[6,2,4,1,0,1]"
|java+method:///smallsql/database/SortedResult/beforeFirst()|,"[5,4,1,1,2,1]"
"|java+method:///smallsql/database/Table/requestLockImpl(smallsql.database.SSConnection,int,long)|","[112,77,35,3,25,24]"
|java+constructor:///smallsql/junit/TestDBMetaData/TestDBMetaData(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestResultSet/testScrollStates()|,"[43,35,8,1,4,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getTableTypes()|,"[5,4,1,1,2,6]"
|java+method:///smallsql/database/ExpressionFunctionReplace/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnFloat/getMoney()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsSchemasInPrivilegeDefinitions()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/TableResult/getMoney(int)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/ViewResult/getNumeric(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestDBMetaData/testGetProcedureColumns()|,"[8,7,1,1,5,3]"
|java+method:///smallsql/database/Identity/intValue()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SortedResult/rowInserted()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/tools/CommandLine/printRS(java.sql.ResultSet)|,"[16,12,4,1,2,4]"
|java+method:///smallsql/database/Store/isValidPage()|,"[7,2,5,1,0,1]"
