method,vector
"|java+method:///smallsql/database/SSCallableStatement/setTimestamp(java.lang.String,java.sql.Timestamp,java.util.Calendar)|","[3,2,1,3,0,1]"
|java+constructor:///smallsql/database/LongTreeList/LongTreeList(smallsql.database.StoreImpl)|,"[7,3,4,1,2,1]"
|java+method:///smallsql/database/Where/beforeFirst()|,"[4,3,1,1,1,1]"
"|java+method:///smallsql/database/SSDatabaseMetaData/getProcedureColumns(java.lang.String,java.lang.String,java.lang.String,java.lang.String)|","[5,4,1,4,2,2]"
|java+method:///smallsql/database/Expression/getBoolean()|,"[1,1,0,1,0,0]"
"|java+method:///smallsql/database/CommandInsert/executeImpl(smallsql.database.SSConnection,smallsql.database.SSStatement)|","[76,55,21,2,18,16]"
|java+method:///smallsql/database/SSConnection/clearWarnings()|,"[3,1,2,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionCase/setParams(smallsql.database.Expression%5B%5D)|,"[10,8,2,1,2,2]"
|java+method:///smallsql/database/StoreNull/isNull(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnP1StringAndBinary/getLong()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/StoreNull/getLong(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionAbs/getFloat()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSCallableStatement/getTimestamp(java.lang.String)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSCallableStatement/setNull(java.lang.String,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/junit/TestDBMetaData/testGetProcedures()|,"[8,7,1,1,5,3]"
"|java+method:///smallsql/database/StoreImpl/writeBinary(byte%5B%5D,int,boolean)|","[20,14,6,3,6,5]"
|java+method:///smallsql/database/TableStorePage/getData()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReplace/getPrecision()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Index/createScrollStatus(smallsql.database.Expressions)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/UnionAll/isNull(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/DateTime/getTime(long)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/GroupResult/patchExpression(smallsql.database.Expression)|,"[47,32,15,1,8,8]"
|java+method:///smallsql/database/language/Language/getLanguage(java.lang.String)|,"[20,5,15,1,0,3]"
|java+method:///smallsql/database/Join/getRow()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestTokenizer/createTable()|,"[10,8,2,1,0,1]"
|java+method:///smallsql/database/Expressions/add(smallsql.database.Expression)|,"[6,4,2,1,1,2]"
|java+constructor:///smallsql/junit/TestIdentifer/TestIdentifer()|,"[3,2,1,1,0,1]"
"|java+constructor:///smallsql/database/SQLToken/SQLToken(int,int,int)|","[5,4,1,3,3,1]"
|java+method:///smallsql/database/SQLTokenizer/parseSQL(char%5B%5D)|,"[205,94,111,1,42,29]"
|java+method:///smallsql/database/UnionAll/getObject(int)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/IndexNode/findNodeInsertPos(char,int,int)|","[12,10,2,3,2,3]"
|java+method:///smallsql/database/Command/getResultSet()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTimestampAdd/getDouble()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsSavepoints()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Identity/setNextValue(smallsql.database.Expression)|,"[7,5,2,1,2,2]"
|java+method:///smallsql/database/StoreImpl/readNumeric()|,"[9,7,2,1,4,2]"
|java+method:///smallsql/database/Expressions/remove(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/IndexDescription/close()|,"[6,4,2,1,1,2]"
|java+method:///smallsql/junit/BenchTest/test_InsertRows(java.sql.Connection)|,"[57,48,9,1,74,8]"
"|java+method:///smallsql/database/SSDatabaseMetaData/getExportedKeys(java.lang.String,java.lang.String,java.lang.String)|","[3,2,1,3,0,1]"
"|java+method:///smallsql/database/FileIndex/print(smallsql.database.Index,smallsql.database.Expressions)|","[8,6,2,2,29,2]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsMultipleOpenResults()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionHour/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ColumnExpression/getPrecision()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/IndexDescription/isPrimary()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestOrderBy/testOrderBy_varchar_Join()|,"[21,15,6,1,7,2]"
|java+method:///smallsql/database/SSDatabaseMetaData/allTablesAreSelectable()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTan/getDouble()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionLeft/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/TableResult/getLong(int)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/tools/CommandLine/main(java.lang.String%5B%5D)|,"[43,33,10,1,6,10]"
|java+method:///smallsql/database/ExpressionFunctionRight/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/CommandSelect/isGroupResult()|,"[7,2,5,1,0,1]"
|java+method:///smallsql/database/JoinScroll/getBoolean()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSCallableStatement/getObject(int,java.util.Map)|","[4,1,3,2,0,1]"
|java+method:///smallsql/junit/TestLanguage/tearDown()|,"[12,7,5,1,2,4]"
|java+method:///smallsql/database/DateTime/getDate(long)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/FileIndexNode/save()|,"[6,5,1,1,3,1]"
|java+method:///smallsql/database/SSResultSet/findColumn(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getBinaryStream(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSPreparedStatement/executeImp()|,"[7,6,1,1,0,1]"
|java+constructor:///smallsql/database/CommandSelect/CommandSelect(smallsql.database.Logger)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/AllTests/createConnection()|,"[10,4,6,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnString/getLong()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/junit/TestGroupBy/testMaxFloat()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/junit/TestGroupBy/testCountWhere()|,"[4,3,1,1,1,1]"
"|java+method:///smallsql/database/MemoryStream/writeBytes(byte%5B%5D,int,int)|","[5,4,1,3,1,1]"
"|java+method:///smallsql/database/Store/getFloat(int,int)|","[1,1,0,2,0,0]"
|java+method:///smallsql/database/ExpressionArithmetic/optimize()|,"[12,8,4,1,1,3]"
|java+method:///smallsql/database/SSCallableStatement/getDouble(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsCatalogsInProcedureCalls()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/Column/setDefaultValue(smallsql.database.Expression,java.lang.String)|","[4,3,1,2,2,1]"
"|java+method:///smallsql/database/SSDatabaseMetaData/getBestRowIdentifier(java.lang.String,java.lang.String,java.lang.String,int,boolean)|","[9,7,2,5,2,4]"
|java+method:///smallsql/database/ExpressionFunctionLCase/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Mutable/getImmutableObject()|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/SSCallableStatement/getString(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionConvert/getPrecision()|,"[14,12,2,1,1,2]"
|java+method:///smallsql/database/LongLongList/resize(int)|,"[5,4,1,1,2,1]"
"|java+method:///smallsql/database/ExpressionArithmetic/getDoubleImpl(double,double)|","[11,9,2,2,0,2]"
|java+method:///smallsql/database/SSSavepoint/getSavepointId()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/TableResult/moveToRow()|,"[28,19,9,1,6,8]"
"|java+method:///smallsql/database/SSDatabaseMetaData/getSuperTables(java.lang.String,java.lang.String,java.lang.String)|","[4,1,3,3,0,1]"
"|java+method:///smallsql/database/SmallSQLException/createFromException(java.lang.String,java.lang.Object,java.lang.Throwable)|","[19,5,14,3,2,1]"
|java+method:///smallsql/junit/TestTransactions/testInsertRow_withRightWhere()|,"[28,19,9,1,3,5]"
"|java+method:///smallsql/database/IndexDescriptions/create(smallsql.database.SSConnection,smallsql.database.Database,smallsql.database.TableView)|","[11,3,8,3,0,2]"
|java+method:///smallsql/database/SQLParser/createIndex(boolean)|,"[21,19,2,1,9,2]"
|java+method:///smallsql/database/Join/setRowPosition(long)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSStatement/addBatch(java.lang.String)|,"[5,4,1,1,1,1]"
|java+method:///smallsql/database/Expressions/toArray()|,"[5,4,1,1,1,1]"
|java+method:///smallsql/database/SSCallableStatement/getBigDecimal(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestOrderBy/test_function()|,"[24,18,6,1,8,2]"
|java+method:///smallsql/database/ExpressionFunctionTimestampDiff/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MemoryStream/skip(int)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/junit/TestExceptions/init()|,"[8,7,1,1,3,1]"
|java+method:///smallsql/database/CommandSelect/afterLast()|,"[6,2,4,1,0,1]"
|java+method:///smallsql/database/ViewResult/getTableView()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MutableNumeric/intValue()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StoreImpl/writeChars(char%5B%5D)|,"[10,8,2,1,5,2]"
|java+method:///smallsql/database/SSConnection/getMetaData()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionValue/accumulate(smallsql.database.Expression)|,"[161,146,15,1,31,10]"
|java+constructor:///smallsql/database/IndexDescriptions/IndexDescriptions()|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/UnionAll/beforeFirst()|,"[6,5,1,1,3,1]"
|java+method:///smallsql/database/ExpressionFunctionSoundex/getString()|,"[5,4,1,1,1,1]"
|java+method:///smallsql/database/ExpressionFunctionOctetLen/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/UnionAll/getRowPosition()|,"[4,3,1,1,1,1]"
"|java+method:///smallsql/database/SQLParser/tableSource(smallsql.database.Command,smallsql.database.DataSources)|","[41,28,13,2,12,6]"
|java+method:///smallsql/junit/TestAlterTable/tearDown()|,"[7,5,2,1,0,3]"
|java+constructor:///smallsql/database/ExpressionValue/ExpressionValue()|,"[7,3,4,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTruncate/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Where/rowInserted()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/cancelRowUpdates()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/SSDriver/parse(java.lang.String,java.util.Properties)|","[39,23,16,2,11,8]"
|java+method:///smallsql/database/Join/noRow()|,"[6,5,1,1,2,1]"
|java+method:///smallsql/database/SQLParser/caseExpr(smallsql.database.Command)|,"[36,27,9,1,9,5]"
|java+method:///smallsql/database/Command/getUpdateCount()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Column/getColumnSize()|,"[5,4,1,1,0,1]"
"|java+method:///smallsql/database/StoreImpl/getFloat(int,int)|","[63,58,5,1,3,3]"
|java+method:///smallsql/database/Where/afterLast()|,"[3,2,1,1,0,2]"
|java+method:///smallsql/database/DateTime/removeDateTimeOffset(long)|,"[7,5,2,1,0,2]"
"|java+method:///smallsql/database/SQLParser/alterTable(java.lang.String,java.lang.String)|","[17,14,3,2,8,4]"
|java+method:///smallsql/database/LongLongList/clear()|,"[3,2,1,1,1,1]"
"|java+method:///smallsql/database/ExpressionArithmetic/getString(java.lang.String,java.lang.String)|","[6,4,2,2,0,2]"
|java+method:///smallsql/database/ExpressionFunctionRand/getFunction()|,"[1,1,0,1,0,1]"
"|java+method:///smallsql/database/SSDatabaseMetaData/getFunctions(int,int)|","[8,6,2,2,1,2]"
|java+method:///smallsql/database/StoreImpl/writeSmallDateTime(long)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionOctetLen/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestGroupBy/testSumLong()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/junit/TestAlterTable/testAddWithTableLock_REPEATABLE_READ()|,"[21,18,3,1,4,5]"
|java+method:///smallsql/database/StoreImpl/readString()|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/ExpressionFunctionACos/getFunction()|,"[1,1,0,1,0,1]"
|java+method:///smallsql/junit/TestDataTypes/tearDown()|,"[10,7,3,1,2,3]"
|java+method:///smallsql/database/Expressions/size()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSConnection/getTransactionIsolation()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/LongTreeList/resize()|,"[13,8,5,1,4,2]"
|java+method:///smallsql/database/ExpressionFunctionLog10/getDouble()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionDayOfMonth/getInt()|,"[5,4,1,1,1,1]"
|java+method:///smallsql/database/ExpressionFunctionLCase/getFunction()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/junit/TestScrollable/testUpdatableAssert(java.sql.Connection,java.sql.ResultSet,int)|","[29,20,9,3,0,2]"
|java+method:///smallsql/database/IndexDescription/matchFactor(smallsql.database.Strings)|,"[20,11,9,1,1,3]"
"|java+constructor:///smallsql/database/SSPreparedStatement/SSPreparedStatement(smallsql.database.SSConnection,java.lang.String,int,int)|","[7,6,1,4,3,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnP1Number/getFloat()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/Index/findRows(smallsql.database.Expressions,boolean,java.util.ArrayList)|","[25,12,13,3,4,2]"
"|java+method:///smallsql/database/ExpressionValue/getBytes(java.lang.Object,int)|","[23,21,2,2,0,2]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsResultSetType(int)|,"[9,7,2,1,0,2]"
|java+method:///smallsql/database/TableResult/getBoolean(int)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/Database/getCatalogs(smallsql.database.Database)|,"[26,16,10,1,7,4]"
|java+method:///smallsql/database/ExpressionFunctionRight/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/UnionAll/rowInserted()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MemoryResult/getString(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestThreads/testConcurrentThreadWrite()/$anonymous1/run()|,"[9,7,2,1,4,3]"
|java+method:///smallsql/junit/TestOther/testConstantAndRowPos()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/TableResult/deleteRow()|,"[5,4,1,1,1,1]"
|java+method:///smallsql/database/MemoryResult/isFirst()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SortedResult/last()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/MemoryResult/getDouble(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestOther/testCreateDropDatabases()|,"[12,9,3,1,2,3]"
|java+method:///smallsql/database/RowSource/isExpressionsFromThisRowSource(smallsql.database.Expressions)|,"[7,1,6,1,0,0]"
|java+constructor:///smallsql/database/MutableNumeric/MutableNumeric(java.math.BigDecimal)|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/SSResultSetMetaData/isCurrency(int)|,"[8,6,2,1,0,2]"
|java+method:///smallsql/database/StorePageMap/remove(long)|,"[29,16,13,1,8,3]"
|java+method:///smallsql/database/ColumnExpression/isAutoIncrement()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsSchemasInDataManipulation()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Index/findNull(smallsql.database.IndexNode)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/CommandTable/addForeingnKey(smallsql.database.ForeignKey)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateValue(int,java.lang.Object,int)|","[7,4,3,3,2,2]"
"|java+method:///smallsql/database/SQLParser/createSyntaxError(smallsql.database.SQLToken,int%5B%5D)|","[30,16,14,2,4,3]"
|java+method:///smallsql/database/JoinScroll/next()|,"[96,76,20,1,19,26]"
|java+method:///smallsql/database/SSDatabaseMetaData/getDatabaseProductVersion()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionRand/isNull()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/junit/TestLanguage/assertMessage(java.sql.SQLException,java.lang.String%5B%5D)|","[17,8,9,2,4,3]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsIntegrityEnhancementFacility()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/UnionAll/afterLast()|,"[6,5,1,1,3,1]"
|java+method:///smallsql/junit/TestExceptionMethods/testAmbiguousColumn()|,"[17,14,3,1,2,5]"
"|java+method:///smallsql/database/SSStatement/execute(java.lang.String,int%5B%5D)|","[4,3,1,2,0,1]"
"|java+method:///smallsql/database/Database/createView(smallsql.database.SSConnection,java.lang.String,java.lang.String)|","[5,2,3,3,0,1]"
|java+method:///smallsql/database/TableViewResult/hasAlias()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/StoreNoCurrentRow/getObject(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTruncate/getFunction()|,"[1,1,0,1,0,1]"
"|java+method:///smallsql/junit/BasicTestCase/assertEqualsRsValue(java.lang.Object,java.sql.ResultSet,boolean)|","[124,100,24,3,27,24]"
|java+method:///smallsql/database/TableStorePageInsert/commit()|,"[9,5,4,1,3,1]"
|java+method:///smallsql/database/ExpressionFunctionLength/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnP1Number/getDataType()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSConnection/prepareStatement(java.lang.String,int,int,int)|","[4,2,2,4,0,1]"
|java+method:///smallsql/database/SSResultSet/moveToInsertRow()|,"[8,6,2,1,1,3]"
|java+method:///smallsql/database/Expression/getScale()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTimestampAdd/getNumeric()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSCallableStatement/getDate(int)|,"[10,8,2,1,2,3]"
|java+method:///smallsql/database/Where/nullRow()|,"[4,3,1,1,1,1]"
"|java+method:///smallsql/database/SSDatabaseMetaData/getUDTs(java.lang.String,java.lang.String,java.lang.String,int%5B%5D)|","[5,4,1,4,2,2]"
|java+method:///smallsql/database/DateTime/getTimeMillis()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StoreImpl/readDouble()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/NoFromResult/getRow()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/updateNull(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SortedResult/absolute(int)|,"[19,13,6,1,0,7]"
|java+method:///smallsql/database/StoreImpl/readInt()|,"[6,5,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/relative(int)|,"[8,6,2,1,0,3]"
"|java+constructor:///smallsql/database/FileIndexNode/FileIndexNode(boolean,char,java.nio.channels.FileChannel)|","[9,4,5,3,2,1]"
|java+method:///smallsql/database/ExpressionFunction/equals(java.lang.Object)|,"[8,4,4,1,0,1]"
"|java+method:///smallsql/database/Database/getPrimaryKeys(smallsql.database.SSConnection,java.lang.String)|","[29,23,6,2,14,5]"
|java+method:///smallsql/database/Where/getRowPosition()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTimestampDiff/isNull()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateDouble(int,double)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/ViewResult/rowDeleted()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/nullsAreSortedHigh()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Database/removeTableView(java.lang.String)|,"[9,3,6,1,0,2]"
|java+method:///smallsql/database/MemoryStream/writeShort(int)|,"[5,4,1,1,2,1]"
|java+method:///smallsql/database/ExpressionFunctionExp/getFunction()|,"[1,1,0,1,0,1]"
|java+method:///smallsql/database/StorePage/commit()|,"[22,13,9,1,2,6]"
|java+method:///smallsql/database/SortedResult/previous()|,"[20,16,4,1,2,5]"
|java+method:///smallsql/database/Logger/isLogging()|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/SSStatement/SSStatement(smallsql.database.SSConnection)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/View/write(smallsql.database.Database,smallsql.database.SSConnection)|","[12,8,4,2,3,1]"
|java+method:///smallsql/database/ExpressionFunctionLeft/getFunction()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/StoreImpl/createStore(smallsql.database.Table,smallsql.database.StorePage,int,long)|","[57,41,16,4,12,9]"
"|java+method:///smallsql/database/SSCallableStatement/setNull(java.lang.String,int,java.lang.String)|","[3,2,1,3,0,1]"
|java+method:///smallsql/database/MutableNumeric/resizeValue(int)|,"[10,5,5,1,3,1]"
|java+method:///smallsql/database/ExpressionFunctionCeiling/getFunction()|,"[1,1,0,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnP1StringAndBinary/getObject()|,"[5,4,1,1,0,1]"
|java+method:///smallsql/database/MemoryResult/isBeforeFirst()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/Expressions/add(int,smallsql.database.Expression)|","[7,5,2,2,1,2]"
|java+method:///smallsql/database/UnionAll/getLong(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getObject(int)|,"[9,7,2,1,4,3]"
|java+method:///smallsql/database/RowSource/isFirst()|,"[6,2,4,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateByte(int,byte)|","[3,2,1,2,0,1]"
|java+method:///smallsql/junit/TestScrollable/testAbsoluteRelative()|,"[19,15,4,1,2,3]"
|java+method:///smallsql/database/TableViewResult/updateRow(smallsql.database.Expression%5B%5D)|,"[7,1,6,1,0,0]"
|java+method:///smallsql/database/IndexScrollStatus/getReturnValue(java.lang.Object)|,"[21,7,14,1,1,3]"
|java+method:///smallsql/junit/TestDBMetaData/testGetBestRowIdentifier()|,"[33,28,5,1,12,7]"
|java+method:///smallsql/junit/TestDataTypes/runTest()|,"[230,208,22,1,60,60]"
|java+method:///smallsql/junit/TestResultSet/testUpdate()|,"[29,23,6,1,5,1]"
|java+constructor:///smallsql/database/MutableNumeric/MutableNumeric(byte%5B%5D)|,"[6,2,4,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionConvert/getMoney()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MutableNumeric/div(smallsql.database.MutableNumeric)|,"[8,6,2,1,4,1]"
|java+method:///smallsql/database/FileIndex/save()|,"[7,6,1,1,1,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsAlterTableWithDropColumn()|,"[4,1,3,1,0,1]"
|java+method:///smallsql/database/ColumnExpression/isNullable()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Index/shortToBinarySortOrder(int)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/IndexNode/addNode(char,long)|","[10,4,6,2,1,1]"
|java+method:///smallsql/junit/TestStatement/setUp()|,"[8,7,1,1,3,1]"
"|java+method:///smallsql/database/StoreNoCurrentRow/getFloat(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/MutableInteger/floatValue()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/UnionAll/nullRow()|,"[4,3,1,1,1,1]"
"|java+constructor:///smallsql/database/MutableNumeric/MutableNumeric(int,int)|","[4,3,1,2,1,1]"
|java+method:///smallsql/database/SSResultSetMetaData/getColumnType(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestOrderBy/testOrderBy_nvarchar()|,"[24,18,6,1,8,2]"
|java+method:///smallsql/database/Expression/getBytes()|,"[1,1,0,1,0,0]"
|java+constructor:///smallsql/database/SSConnection/SSConnection(smallsql.database.SSConnection)|,"[10,5,5,1,4,1]"
"|java+method:///smallsql/database/Utils/indexOf(byte%5B%5D,byte%5B%5D,int)|","[13,9,4,3,1,4]"
|java+method:///smallsql/database/IndexNode/getUnique()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionMod/getInt()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/DateTime/addDateTimeOffset(long,java.util.TimeZone)|","[17,13,4,2,5,3]"
|java+method:///smallsql/junit/TestIdentifer/testQuoteIdentifer()|,"[12,9,3,1,2,2]"
|java+method:///smallsql/database/IndexNode/getValue()|,"[7,2,5,1,0,1]"
|java+constructor:///smallsql/database/SSDatabaseMetaData/SSDatabaseMetaData(smallsql.database.SSConnection)|,"[7,3,4,1,2,1]"
|java+method:///smallsql/database/SSCallableStatement/getArray(java.lang.String)|,"[3,2,1,1,0,1]"
"|java+constructor:///smallsql/database/Table/Table(smallsql.database.Database,smallsql.database.SSConnection,java.lang.String,smallsql.database.Columns,smallsql.database.IndexDescriptions,smallsql.database.ForeignKeys)|","[6,2,4,6,0,1]"
|java+method:///smallsql/database/MemoryStream/readByte()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/CommandSelect/compileAdd_All_Table_Columns(smallsql.database.DataSource,smallsql.database.TableView,int)|","[8,6,2,3,1,2]"
"|java+method:///smallsql/database/SSResultSet/updateLong(int,long)|","[3,2,1,2,0,1]"
|java+constructor:///smallsql/database/StoreNull/StoreNull(long)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/ExpressionFunctionTimestampDiff/getBoolean()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestExceptionMethods/testClosedStatement()|,"[23,19,4,1,2,7]"
|java+method:///smallsql/database/Table/getStoreTemp(smallsql.database.SSConnection)|,"[7,3,4,1,1,1]"
"|java+method:///smallsql/database/SSPreparedStatement/setBinaryStream(int,java.io.InputStream,int)|","[4,3,1,3,0,1]"
|java+method:///smallsql/database/Scrollable/getRow()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/TableResult/isNull(int)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/Utils/bytes2hex(byte%5B%5D)|,"[8,6,2,1,1,2]"
|java+method:///smallsql/junit/TestOrderBy/test_boolean()|,"[33,26,7,1,8,3]"
"|java+constructor:///smallsql/database/ExpressionArithmetic/ExpressionArithmetic(smallsql.database.Expression,smallsql.database.Expressions,int)|","[19,13,6,3,6,4]"
|java+method:///smallsql/junit/TestDataTypes/setUp()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Column/setFlag(int)|,"[5,4,1,1,3,1]"
|java+method:///smallsql/database/ExpressionFunctionLog/getDouble()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateArray(java.lang.String,java.sql.Array)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/NoFromResult/setRowPosition(long)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/SSCallableStatement/getTime(int)|,"[10,8,2,1,2,3]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsStoredProcedures()|,"[3,2,1,1,0,1]"
